countryname,countrycode,co2emissionspercap1990,co2emissionspercap2000,co2emissionspercap2010,co2emissionspercap2020,gdppercapitacurrentus1990,gdppercapitacurrentus2000,gdppercapitacurrentus2010,gdppercapitacurrentus2020,co2emissionskt1990,co2emissionskt2000,co2emissionskt2010,co2emissionskt2020,terrestrialandmarineprotectedare,forestareaoflandarea1990,forestareaoflandarea2000,forestareaoflandarea2010,forestareaoflandarea2020
Kenya,KEN,.27065569,.27973261,.32334009,.37407923,370.10013,411.82135,1093.6396,1936.2507,6269,8630.2002,13424.4,19446.801,10.547845,6.7795973,6.9599571,6.354043,6.3448186
Kyrgyz Republic,KGZ,5.1836171,.94792175,1.1737367,1.3799754,609.17291,279.61957,880.03851,1256.9292,22762.301,4643.2998,6394.3999,9080.0996,6.7056727,,6.1569343,6.4112616,6.8580813
Cambodia,KHM,.14144801,.16197918,.3579064,1.1375836,,301.5166,782.69574,1577.9117,1260.416,1963,5140.7998,18652.801,31.768274,62.343021,61.075233,59.988838,45.707966
Kiribati,KIR,.31947181,.39965776,.50280106,.44993398,571.49908,757.1333,1438.0814,1403.9939,24,35.5,54.299999,56.900002,11.821045,1.4567901,1.4567901,1.4567901,1.4567901
St. Kitts and Nevis,KNA,2.7980115,3.9858341,4.8351369,4.8486629,5346.4727,9275.9893,16427.621,18553.656,113.7,181.2,229.2,231,4.4639916,42.307693,42.307693,42.307693,42.307693
"Korea, Rep.",KOR,5.7774653,9.5140457,11.60783,10.990029,6609.9971,12257.021,23079.26,31721.299,247675.8,447237.31,575215.69,569681.81,5.8090749,67.914162,67.136635,65.709877,64.415985
Kuwait,KWT,17.390734,25.757494,27.42638,21.169611,11002.065,19493.889,39212.578,24297.711,29128.4,49838.199,80725.602,92308.898,10.716509,.1936027,.2721661,.35072953,.35072953
Lao PDR,LAO,.11889368,.16628511,.45499128,2.6202834,200.61914,318.77094,1127.8352,2593.355,512.96002,903.07001,2877.1001,19178.9,18.687561,77.309357,75.498268,73.399048,71.904243
Lebanon,LBN,1.5644321,3.627424,4.1763682,3.7921937,789.8504,3994.8611,7695.2456,5599.9575,5622.1001,15672.8,20864.301,21474.9,1.0427322,13.655914,13.507332,13.426197,14.010753
Liberia,LBR,.20537342,.14707325,.18153432,.23183893,,301.87646,497.02036,597.52966,453.82001,425.81,729.76001,1179.5,1.2114959,88.509552,85.367943,82.226326,79.084717
