countryname,countrycode,co2emissionspercap1990,co2emissionspercap2000,co2emissionspercap2010,co2emissionspercap2020,gdppercapitacurrentus1990,gdppercapitacurrentus2000,gdppercapitacurrentus2010,gdppercapitacurrentus2020,co2emissionskt1990,co2emissionskt2000,co2emissionskt2010,co2emissionskt2020,terrestrialandmarineprotectedare,forestareaoflandarea1990,forestareaoflandarea2000,forestareaoflandarea2010,forestareaoflandarea2020
Trinidad and Tobago,TTO,10.384692,7.6598687,15.20461,10.157119,4001.5222,6120.9429,15711.559,13705.9,13152.4,10204.5,21443,15420,2.0144122,47.185184,46.130604,45.304092,44.48148
Tunisia,TUN,1.7383721,2.1295993,2.5994802,2.4086225,1456.2245,2170.5088,4241.0117,3497.719,14671.9,21068.801,28321.5,29293,5.2086086,4.1450624,4.2987256,4.4247556,4.5232363
Turkiye,TUR,2.5623579,3.3752072,4.0717154,4.8858638,2773.2698,4278.2632,10622.702,8638.7393,139197.91,216396.5,297814,407406.19,.19065237,25.705183,26.179268,27.393787,28.871483
Tuvalu,TUV,.69701588,.81967211,.90995258,.59625983,961.09167,1564.0149,3043.1667,4674.9116,6.4000001,7.9000001,9.6000004,6.5999999,.029974066,33.333332,33.333332,33.333332,33.333332
Tanzania,TZA,.072204806,.085492842,.15317711,.23394559,167.14455,399.46277,730.78235,1104.1644,1892.2,2946.3999,6909.8999,14435.5,31.048344,64.788902,60.58931,56.389717,51.642582
Uganda,UGA,.044677973,.054020081,.1030248,.12779303,244.75407,257.82962,824.73767,846.88123,785.73499,1297.6,3332,5674.6001,16.061846,17.89435,15.829788,13.716437,11.659186
Ukraine,UKR,13.270386,6.0471325,5.8626609,3.7538161,1532.5046,658.3446,3078.4148,3751.7373,688618.88,297376.81,268924.59,165663.59,4.1737151,,16.414948,16.481392,16.724197
Uruguay,URY,1.2347401,1.6579977,1.8742779,1.899719,2983.2441,6932.478,12512.594,15650.499,3848.7,5458.5,6283.7998,6514.2998,2.4422162,4.5594788,7.8219633,9.8920126,11.604388
United States,USA,19.407335,20.469797,17.431738,13.032828,23888.6,36329.957,48650.645,63528.633,4844517.5,5775807,5392109.5,4320532.5,23.945835,33.022308,33.130173,33.749409,33.866928
Uzbekistan,UZB,5.7419648,5.0224133,4.4198141,3.3763037,651.41919,558.22681,1742.3492,1759.3075,117767.7,123804.5,126240.5,115577.8,5.7678466,,6.7928872,7.6844721,8.3732214
St. Vincent and the Grenadines,VCT,.73430705,1.3671548,2.1370804,2.1006958,2136.8396,3760.0806,6590.9897,8306.3604,82.599998,155.60001,233.60001,219.8,.46656346,70.615387,73.179489,73.179489,73.179489
"Venezuela, RB",VEN,5.1456718,5.3839102,5.7148347,2.545028,2461.0393,4795.6348,13692.915,,101630,131516.7,164101.59,72509,39.000645,58.983051,55.723598,53.857491,52.413013
British Virgin Islands,VGB,,,,,,,,,,,,,.023926457,24.733334,24.466667,24.266666,24.133333
Virgin Islands (U.S.),VIR,,,,,,,39905.129,39411.047,,,,,.62265569,70.114288,58.485714,52.657143,56.885715
Viet Nam,VNM,.28885287,.64818937,1.7322017,3.67644,96.719299,394.58313,1684.0117,3586.3472,19327.9,51207.699,151413.5,355323.09,2.9295065,28.805677,37.88369,42.733215,46.719002
Vanuatu,VUT,.44339284,.46492499,.51781809,.38917497,1119.28,1416.197,2732.5515,2917.7568,66.900002,89.300003,127.1,121.3,.090716712,36.28384,36.28384,36.28384,36.28384
Samoa,WSM,.52917606,.80757356,.98832911,.96078241,747.78082,1406.7656,3494.3953,4042.7227,89,148.60001,192.39999,206.5,.31698412,62.236748,60.533569,58.830387,58.154675
Kosovo,XKX,,,,,,,3009.5234,4310.9341,,,,,,,,,
"Yemen, Rep.",YEM,.49661607,.80684644,1.0278029,.30851462,945.32391,519.59161,1249.0631,578.51202,6642.2998,15030.5,25431.9,9960.0996,.60580146,1.0398318,1.0398318,1.0398318,1.0398318
South Africa,ZAF,6.209373,6.0765533,8.2176123,6.6875629,3160.8782,3241.6614,8059.563,5753.0664,247614.7,284463.31,425548.41,393241.59,12.439703,14.955272,14.655211,14.355151,14.055091
Zambia,ZMB,.35657781,.18270904,.19263946,.40190271,427.40646,364.02615,1469.3615,956.83173,2740.8,1807.2,2656.8999,7607.1001,41.259399,63.778099,63.29652,62.814941,60.283337
Zimbabwe,ZWE,1.6349293,1.1473825,.74129045,.53048354,868.49017,565.28436,937.84033,1372.6967,16535.5,13578.9,9518,8312.5,27.214746,48.666615,47.475716,46.284813,45.093914
